star_id,movie_id
911,901
755015,905
788002,907
634004,908
919,910
911,921
671105,925
788002,926
634004,927
490002,928
919,929
48011,48011
48012,48011
135003,135001
855102,135001
855106,135001
135005,135002
135006,135002
755003,135002
135008,135004
135009,135004
326112,135005
872003,135005
135012,135006
135013,135006
326112,135006
135015,135007
671103,135009
855109,135011
135022,135012
671105,135012
135023,135013
135024,135014
140002,140001
140003,140001
140004,140001
788006,140001
140010,140003
788007,140003
855106,140003
140011,140004
140012,140004
140013,140004
140014,140004
788007,140004
140022,140009
217033,140009
140020,140010
140024,140010
855109,150001
150002,150002
150003,150003
150004,150004
150005,150005
150006,150006
150008,150008
634003,150009
150010,150010
693100,156001
693105,156001
693106,156001
156005,156003
764012,156003
156009,156005
156010,156005
156011,156006
156012,156006
156023,156006
135007,156008
140020,156008
156016,156008
855106,156008
217022,217002
907007,217002
764006,217003
217040,217005
217042,217005
693108,217005
326111,217006
788003,217006
217037,217007
412019,217008
658003,217008
217035,217009
634003,217010
217033,217011
217032,217012
217031,217013
412031,217015
755005,217015
217028,217016
788009,217016
693116,217017
217025,217018
907007,217019
217022,217020
788007,217020
658011,259001
755005,259003
422405,259004
490009,259005
693113,259006
658016,259008
764006,326002
326103,326004
872003,326004
326103,326005
671105,326005
326105,326006
422406,326006
671105,326006
872008,326008
855106,412002
412017,412004
412018,412004
412019,412004
412020,412004
48010,412008
422402,422102
755012,422103
422405,422104
422405,422105
422410,422105
422406,422106
422404,422108
422409,422109
855100,422110
855102,490003
326111,490006
422406,490006
872008,490006
490012,490008
755010,490010
140020,490011
490009,490011
693109,490011
855104,490012
855105,490012
855105,490015
855105,490016
658003,492001
755015,492001
907000,492001
492107,492002
634004,492002
634008,492002
693104,492002
492107,492003
634004,492003
634008,492003
693104,492003
48007,492006
492108,492009
525101,525001
525106,525001
525109,525001
525101,525002
525106,525002
525109,525002
525112,525002
525101,525003
525106,525003
525109,525003
525112,525003
525101,525004
525106,525004
525109,525004
525112,525004
525101,525005
525106,525005
525109,525005
525112,525005
525102,525006
525106,525006
525109,525006
525112,525006
525101,525007
525106,525007
525109,525007
525112,525007
525103,525008
525106,525008
525109,525008
525103,525009
525106,525009
525109,525009
525112,525009
525103,525010
525106,525010
525109,525010
525112,525010
525103,525011
525106,525011
525109,525011
525112,525011
525103,525012
525109,525012
525112,525012
525103,525013
525107,525013
525109,525013
525112,525013
525103,525014
525107,525014
525109,525014
525112,525014
525107,525015
525110,525015
525112,525015
631012,525015
525107,525016
525110,525016
525112,525016
631012,525016
525105,525017
525108,525017
525111,525017
525112,525017
525105,525018
525108,525018
525111,525018
525112,525018
525105,525019
525108,525019
525111,525019
525112,525019
525113,525019
525105,525020
525108,525020
525111,525020
525113,525020
631001,631001
631002,631001
631002,631002
631015,631002
631016,631002
631017,631002
631018,631002
631003,631003
631004,631003
631005,631004
631006,631004
631007,631005
631007,631006
631008,631008
631011,631009
631012,631010
634002,634002
634005,634002
755010,634002
634002,634003
634005,634003
755010,634003
634003,634004
634004,634004
634005,634004
634006,634004
634007,634004
634008,634004
693104,634004
634003,634005
634004,634005
634005,634005
634006,634005
634007,634005
634008,634005
634003,634006
634004,634006
634005,634006
634006,634006
634007,634006
634008,634006
634011,634007
412005,634009
693103,634009
693109,634009
788006,634009
855105,634009
855106,634009
855108,634009
658008,658001
693100,658001
658007,658003
658013,658003
658012,658004
658010,658006
658018,658006
658019,658006
693100,658008
788010,658008
658001,658009
764014,671001
764014,671002
764014,671003
755006,671004
671103,671006
788010,671007
671105,671009
788006,671010
671107,671011
693116,671013
693116,671014
671109,671015
671109,671016
671109,671017
755003,671019
525101,671020
755003,671020
631009,683001
631010,683001
631014,683001
683001,683001
683002,683001
683001,683002
683013,683002
683014,683002
140012,683003
140014,683003
140016,683003
140017,683003
683003,683003
683008,683003
683004,683004
683018,683004
683019,683004
683001,683005
683021,683005
755016,683005
855105,683006
855106,683006
855108,683006
683007,683007
683008,683007
683020,683007
872002,683008
683010,683009
693100,693000
693106,693000
693119,693000
48002,693001
412026,693001
412027,693001
490002,693001
693101,693001
412005,693003
693103,693003
693109,693003
788006,693003
855105,693003
855106,693003
855108,693003
693104,693004
693100,693005
693106,693005
693111,693005
907000,693005
693100,693006
693112,693006
693113,693006
658014,693007
693115,693007
788010,693007
693116,693008
693117,693009
755012,755001
755001,755003
755015,755003
755005,755004
658003,755005
755014,755005
872008,755005
140014,755006
412005,755006
788006,755006
855105,755006
855106,755006
855108,755006
755003,755007
855106,755008
755007,755009
755016,755009
755017,755009
755011,755010
634002,755012
634005,755012
755010,755012
755013,755013
755014,755014
755015,755014
764001,764001
764011,764001
764012,764001
764013,764001
764014,764001
764015,764001
764016,764001
634003,764002
764002,764002
855106,764002
48006,764003
48015,764003
764003,764003
788009,764004
156023,764005
755008,764005
764005,764005
764007,764007
764008,764008
764017,764008
764018,764008
764019,764008
764020,764008
764009,764009
48004,764010
48014,764010
492108,764010
658011,764010
693109,764010
855106,764010
855108,764010
788001,788001
788002,788002
788007,788004
872006,788004
788002,788005
788006,788005
788009,788007
788003,788008
872008,788009
48007,788010
658011,788010
658015,788010
755006,788011
788011,788012
658016,788013
658017,788013
788003,788013
788001,788014
788003,788014
788010,788015
872006,788015
788001,788016
788006,788016
872006,788016
788001,788017
788010,788017
693109,788018
788010,788018
855100,855001
855101,855001
855101,855002
855102,855002
490006,855003
855103,855003
855104,855003
855104,855004
855105,855004
855105,855005
855106,855005
855107,855005
855108,855005
693109,855006
855107,855006
855108,855006
855109,855007
855110,855007
855109,855008
855111,855008
855110,855009
855112,855009
412019,872001
872001,872001
872002,872002
48003,872003
48016,872003
326112,872003
693108,872003
693118,872003
764006,872003
872003,872003
872003,872004
872004,872004
326112,872005
872003,872005
872004,872005
872005,872005
683016,872006
693113,872006
872005,872006
872006,872006
872006,872007
872007,872007
872007,872008
872008,872008
872008,872009
872009,872009
872009,872010
872010,872010
872010,872011
872011,872011
872011,872012
907000,907000
907009,907000
907001,907001
907008,907001
907002,907002
907007,907002
907003,907003
907006,907003
907004,907004
907005,907004
907004,907005
907005,907005
907003,907006
907006,907006
412029,907007
412030,907007
412031,907007
412032,907007
788009,907007
907002,907007
907007,907007
907001,907008
907008,907008
907000,907009
907009,907009
